;Pos.;Participante;Meio de indicação;% dos votos;Eliminado em;edicao;Porcentagem/ Pontos;Porcentagem/ Votos
169;10–11;Diogo Preto;Líder (Daniel);44%[46];Semana 7;11;;
170;12;Adriana Sant'anna;Líder (Maria);45%[47];Semana 6;11;;
171;13;Natália Castro;Casa (5 votos);54%[48];Semana 5;11;;
172;14;Lucival França;Casa (6 votos);48%[49];Semana 5;11;;
173;15;Cristiano Naya;Líder (Jaqueline);78%[50];Semana 4;11;;
174;16;Igor Serra;Líder (Talula);55%[51];Semana 3;11;;
175;17–18;Michelly Freitas;Casa (5 votos);56%[52];Semana 3;11;;
176;17–18;Rodrigo Carvalho;Líder (Igor);62%[52];Semana 3;11;;
177;19;Ariadna Arantes;Líder (Cristiano);49%[53];Semana 1;11;;
178;1;Fael Cordeiro;Finalista;92%[2];—;12;;
179;2;Fabiana Teixeira;Finalista;8%[2];—;12;;
180;3;Jonas Sulzbach;Prova do Líder;54%[89];Semana 11;12;;
181;4;Kelly Medeiros;Casa (1 voto);57%[90];Semana 11;12;;
182;5;João Carvalho;Líder (Fabiana);86%[91];Semana 10;12;;
183;6;Monique Amin;Casa (3 votos);52%[92];Semana 10;12;;
184;7;Yuri Fernandes;Líder (Kelly);51,23%[93];Semana 9;12;;
185;8;Renata Dávila;Casa (5 votos);66%[94];Semana 8;12;;
186;9;Rafa Oliveira;Líder (Fabiana);92%[95];Semana 7;12;;
187;10;Laisa Portela;Líder (Fael);88%[96];Semana 6;12;;
188;11;João Mauricio Dantas;Casa (4 votos);52%[97];Semana 5;12;;
189;12;Ronaldo Peres;Casa (5 votos);81%[98];Semana 4;12;;
190;13;Mayara Medeiros;Líder (Laisa);74%[99];Semana 3;12;;
191;14;Jakeline Leal;Casa (6 votos);50,47%[100];Semana 2;12;;
192;15;Analice de Souza;Líder (João Carvalho);53%[101];Semana 1;12;;
193;16;Daniel Echaniz;Expulso[49];—;Semana 1;12;;
194;1;Fernanda Keulla;Finalista;62,79%[56];—;13;;
195;2;Nasser Rodrigues;Finalista;28,29%[57];—;13;;
196;3;Andressa Ganacin;Finalista;8,92%[58];—;13;;
197;4;Natália Casassola;Líder (Andressa);66,39%[59];Semana 11;13;;
198;5;André Martinelli;Líder (Nasser);74,87%[60];Semana 10;13;;
199;6;Fani Pacheco;Casa (3 votos);62%[61];Semana 10;13;;
200;7;Kamilla Salgado;Caixa Surpresa (Andressa);68%[62];Semana 9;13;;
201;8;Anamara Barreira;Casa (2 votos);48%[63];Semana 8;13;;
202;9;Marcello Soares;Big Fone (André);47,35%[64];Semana 8;13;;
203;10;Eliéser Ambrósio;Big Fone;46%[65];Semana 7;13;;
204;11;Ivan Marcondes;Casa (4 votos);48%[66];Semana 6;13;;
205;12;Marien Carretero;Líder (Kamilla);51%[67];Semana 5;13;;
206;13;Yuri Fernandes;Casa (3 votos);45,68%[68];Semana 4;13;;
207;14;Aslan Cabral;Líder (Anamara);79%[69];Semana 3;13;;
208;15;Dhomini Ferreira;Casa (6 votos);54%[70];Semana 2;13;;
209;16;Aline Mattos;Líder (Fani);77%[71];Semana 1;13;;
210;17;Kleber Bambam;Desistente[72];—;Semana 1;13;;
211;18–21;André Coelho;Casa de Vidro;Não divulgado[73];Semana 1;13;;
212;18–21;Bernardo Lima;Casa de Vidro;Não divulgado[73];Semana 1;13;;
213;18–21;Kelly Baron;Casa de Vidro;Não divulgado[73];Semana 1;13;;
214;18–21;Samara Fonseca;Casa de Vidro;Não divulgado[73];Semana 1;13;;
215;1;Vanessa Mesquita;Finalista;53%[71];—;14;;
216;2;Angela Munhoz;Finalista;28%[72];—;14;;
217;3;Clara Aguilar;Finalista;19%[73];—;14;;
218;4;Marcelo Zagonel;Casa (1 voto);55%[74];Semana 11;14;;
219;5;Valter Araújo;Líder (Marcelo);75%[75];Semana 11;14;;
220;6;Tatiele Polyana;Líder (Valter);54%[76];Semana 10;14;;
221;7;Cássio Lannes;Líder (Vanessa);62%[77];Semana 10;14;;
222;8;Diego Grossi;Casa (3 votos);61%[78];Semana 9;14;;
223;9;Aline Dahlen;Líder (Valter);80%[79];Semana 8;14;;
224;10;Franciele Almeida;Líder (Tatiele);66%[80];Semana 7;14;;
225;11;Roni Mazon;Casa (4 votos);60%[81];Semana 6;14;;
226;12;Letícia Santiago;Líder (Clara);54%[82];Semana 5;14;;
227;13;Junior Gianetti;Líder (Marcelo);68%[83];Semana 4;14;;
228;14;Amanda Gontijo;Casa (4 votos);65%[84];Semana 3;14;;
229;15;Vagner Lara;Casa (2 votos);50%[11];Semana 2;14;;
230;16;Bella Maia;Casa (2 votos);56%[10];Semana 2;14;;
231;17;Princy Cavalcante;Casa (4 votos);64%[9];Semana 2;14;;
232;18;Rodrigo Lima;Casa (3 votos);48%[8];Semana 1;14;;
233;19;Alisson Gomes;Líder (Valter);40%[7];Semana 1;14;;
234;20;João Almeida;Casa (4 votos);44%[6];Semana 1;14;;
235;1;Cézar Lima;Finalista;65%[76];—;15;;
236;2;Amanda Djehdian;Finalista;35%[76];—;15;;
237;3;Fernando Medeiros;Prova do Finalista;78%[77];Semana 11;15;;
238;4;Adrilles Jorge;Líder (Amanda);65%[78];Semana 10;15;;
239;5;Mariza Moreira;Líder (Amanda);50,22%[79];Semana 9;15;;
240;6;Rafael Licks;Casa (3 votos);77%[80];Semana 8;15;;
241;7;Luan Patricio;Líder (Amanda);87%[81];Semana 7;15;;
242;8;Tamires Peloso;Desistente[45];—;Semana 7;15;;
243;9;Talita Araújo;Casa (1 voto);60%[82];Semana 6;15;;
244;10;Angélica Ramos;Líder (Fernando);69%[83];Semana 5;15;;
245;11;Aline Gotschalg;Líder (Luan);53%[84];Semana 4;15;;
246;12;Marco Marcon;Casa (5 votos);52%[85];Semana 3;15;;
247;13;Douglas Ferreira;Líder (Rafael);63%[86];Semana 2;15;;
248;14;Francieli Medeiros;Casa (6 votos);58%[87];Semana 1;15;;
249;15;Julia Barboza;Disputa pela última vaga;47%[44];Semana 1;15;;
250;1;Munik Nunes;Finalista;;—;16;6 de 6 pontos[18];
251;2;Maria Claudia Macedo;Finalista;;—;16;0 de 6 pontos[18];
252;3;Ronan Oliveira;Prova do Finalista;;Semana 11;16;6 de 6 pontos[17];
253;4;Geralda Diniz;Líder (Maria Claudia);;Semana 11;16;5 de 6 pontos[16];
254;5;Matheus Lisboa;Casa (3 votos);;Semana 9;16;6 de 6 pontos[15];
255;6;Renan Oliveira;Líder (Munik);;Semana 8;16;6 de 6 pontos[14];
256;7;Adélia Soares;Imunizado do Anjo (Geralda);;Semana 7;16;6 de 6 pontos[13];
257;8;Ana Paula Renault;Expulsa[24];;Semana 7;16;—;
258;9;Tamiel Baiocchi;Casa (3 votos);;Semana 6;16;6 de 6 pontos[12];
259;10;Juliana Dias;Casa (5 votos);;Semana 5;16;6 de 6 pontos[11];
